,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.67344E-03,-5.36000E+00,1.28000E+00,4.56000E+00,0.00000E+00
-7.67144E-03,-5.36000E+00,1.28000E+00,4.64000E+00,0.00000E+00
-7.66944E-03,-5.36000E+00,1.20000E+00,4.72000E+00,0.00000E+00
-7.66744E-03,-5.36000E+00,1.20000E+00,4.72000E+00,0.00000E+00
-7.66544E-03,-5.44000E+00,1.12000E+00,4.72000E+00,0.00000E+00
-7.66344E-03,-5.36000E+00,1.12000E+00,4.72000E+00,0.00000E+00
-7.66144E-03,-5.44000E+00,1.12000E+00,4.72000E+00,0.00000E+00
-7.65944E-03,-5.44000E+00,1.12000E+00,4.80000E+00,0.00000E+00
-7.65744E-03,-5.44000E+00,1.12000E+00,4.80000E+00,0.00000E+00
-7.65544E-03,-5.44000E+00,1.12000E+00,4.80000E+00,0.00000E+00
-7.65344E-03,-5.44000E+00,1.04000E+00,4.80000E+00,0.00000E+00
-7.65144E-03,-5.44000E+00,1.04000E+00,4.80000E+00,0.00000E+00
-7.64944E-03,-5.44000E+00,1.04000E+00,4.80000E+00,0.00000E+00
-7.64744E-03,-5.44000E+00,9.60000E-01,4.80000E+00,-8.00000E-02
-7.64544E-03,-5.44000E+00,9.60000E-01,4.80000E+00,0.00000E+00
-7.64344E-03,-5.44000E+00,8.80000E-01,4.80000E+00,0.00000E+00
-7.64144E-03,-5.44000E+00,8.80000E-01,4.88000E+00,0.00000E+00
-7.63944E-03,-5.44000E+00,8.80000E-01,4.96000E+00,0.00000E+00
-7.63744E-03,-5.52000E+00,8.00000E-01,4.88000E+00,0.00000E+00
-7.63544E-03,-5.60000E+00,8.00000E-01,4.96000E+00,0.00000E+00
-7.63344E-03,-5.52000E+00,8.00000E-01,4.96000E+00,0.00000E+00
-7.63144E-03,-5.52000E+00,8.00000E-01,4.96000E+00,0.00000E+00
-7.62944E-03,-5.52000E+00,8.00000E-01,4.96000E+00,8.00000E-02
-7.62744E-03,-5.52000E+00,8.00000E-01,5.04000E+00,0.00000E+00
-7.62544E-03,-5.60000E+00,8.00000E-01,4.96000E+00,0.00000E+00
-7.62344E-03,-5.60000E+00,7.20000E-01,5.04000E+00,0.00000E+00
-7.62144E-03,-5.60000E+00,7.20000E-01,5.12000E+00,0.00000E+00
-7.61944E-03,-5.60000E+00,7.20000E-01,5.12000E+00,0.00000E+00
-7.61744E-03,-5.68000E+00,7.20000E-01,5.04000E+00,0.00000E+00
-7.61544E-03,-5.68000E+00,6.40000E-01,5.12000E+00,0.00000E+00
-7.61344E-03,-5.68000E+00,6.40000E-01,5.12000E+00,0.00000E+00
-7.61144E-03,-5.68000E+00,6.40000E-01,5.12000E+00,0.00000E+00
-7.60944E-03,-5.68000E+00,5.60000E-01,5.12000E+00,0.00000E+00
-7.60744E-03,-5.68000E+00,6.40000E-01,5.12000E+00,0.00000E+00
-7.60544E-03,-5.68000E+00,5.60000E-01,5.12000E+00,0.00000E+00
-7.60344E-03,-5.68000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.60144E-03,-5.76000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.59944E-03,-5.76000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.59744E-03,-5.76000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.59544E-03,-5.76000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.59344E-03,-5.76000E+00,5.60000E-01,5.20000E+00,0.00000E+00
-7.59144E-03,-5.76000E+00,5.60000E-01,5.28000E+00,0.00000E+00
-7.58944E-03,-5.76000E+00,4.80000E-01,5.28000E+00,0.00000E+00
-7.58744E-03,-5.76000E+00,4.80000E-01,5.28000E+00,0.00000E+00
-7.58544E-03,-5.76000E+00,4.00000E-01,5.28000E+00,8.00000E-02
-7.58344E-03,-5.76000E+00,4.00000E-01,5.28000E+00,0.00000E+00
-7.58144E-03,-5.84000E+00,4.00000E-01,5.28000E+00,0.00000E+00
-7.57944E-03,-5.84000E+00,4.00000E-01,5.36000E+00,0.00000E+00
-7.57744E-03,-5.84000E+00,4.00000E-01,5.36000E+00,0.00000E+00
-7.57544E-03,-5.76000E+00,4.00000E-01,5.36000E+00,0.00000E+00
-7.57344E-03,-5.92000E+00,4.00000E-01,5.36000E+00,0.00000E+00
-7.57144E-03,-5.84000E+00,3.20000E-01,5.36000E+00,0.00000E+00
-7.56944E-03,-5.84000E+00,3.20000E-01,5.36000E+00,0.00000E+00
-7.56744E-03,-5.92000E+00,3.20000E-01,5.36000E+00,0.00000E+00
